Part           	Vertex         	Longitude (dd) 	Latitude (dd)  	Z (Meters)     
1              	1              	172.6440887°E  	43.5771674°S   	0              
1              	2              	172.6459141°E  	43.5783943°S   	0              
1              	3              	172.6475962°E  	43.5780110°S   	0              
1              	4              	172.6477541°E  	43.5771232°S   	0              
1              	5              	172.6470779°E  	43.5752337°S   	0              
1              	6              	172.6465506°E  	43.5740108°S   	0              
1              	7              	172.6456454°E  	43.5721206°S   	0              
1              	8              	172.6446643°E  	43.5701746°S   	0              
1              	9              	172.6451319°E  	43.5685662°S   	0              
1              	10             	172.6460581°E  	43.5668482°S   	0              
1              	11             	172.6472893°E  	43.5651866°S   	0              
1              	12             	172.6490551°E  	43.5634711°S   	0              
1              	13             	172.6515807°E  	43.5623686°S   	0              
1              	14             	172.6542550°E  	43.5619326°S   	0              
1              	15             	172.6545550°E  	43.5628773°S   	0              
1              	16             	172.6559212°E  	43.5642692°S   	0              
1              	17             	172.6572130°E  	43.5653278°S   	0              
1              	18             	172.6579707°E  	43.5663293°S   	0              
1              	19             	172.6583427°E  	43.5680513°S   	0              
1              	20             	172.6585589°E  	43.5703280°S   	0              
1              	21             	172.6597025°E  	43.5706090°S   	0              
1              	22             	172.6601656°E  	43.5697221°S   	0              
1              	23             	172.6616221°E  	43.5686717°S   	0              
1              	24             	172.6611784°E  	43.5661168°S   	0              
1              	25             	172.6618775°E  	43.5639539°S   	0              
1              	26             	172.6639452°E  	43.5627942°S   	0              
1              	27             	172.6647144°E  	43.5617417°S   	0              
1              	28             	172.6656434°E  	43.5594129°S   	0              
1              	29             	172.6679376°E  	43.5586424°S   	0              
1              	30             	172.6698417°E  	43.5594251°S   	0              
1              	31             	172.6704427°E  	43.5612033°S   	0              
1              	32             	172.6727298°E  	43.5617650°S   	0              
1              	33             	172.6749462°E  	43.5612717°S   	0              
1              	34             	172.6761691°E  	43.5609976°S   	0              
1              	35             	172.6786781°E  	43.5628921°S   	0              
1              	36             	172.6801999°E  	43.5638401°S   	0              
1              	37             	172.6814886°E  	43.5655646°S   	0              
1              	38             	172.6830738°E  	43.5690108°S   	0              
1              	39             	172.6861207°E  	43.5703515°S   	0              
1              	40             	172.6909275°E  	43.5709752°S   	0              
1              	41             	172.6937467°E  	43.5720930°S   	0              
1              	42             	172.7006114°E  	43.5734990°S   	0              
1              	43             	172.7019810°E  	43.5744463°S   	0              
1              	44             	172.7036545°E  	43.5757275°S   	0              
1              	45             	172.7050238°E  	43.5767857°S   	0              
1              	46             	172.7061648°E  	43.5776769°S   	0              
1              	47             	172.7065361°E  	43.5798428°S   	0              
1              	48             	172.7085212°E  	43.5799034°S   	0              
1              	49             	172.7106667°E  	43.5783545°S   	0              
1              	50             	172.7122028°E  	43.5764710°S   	0              
1              	51             	172.7124422°E  	43.5743066°S   	0              
1              	52             	172.7116874°E  	43.5724728°S   	0              
1              	53             	172.7106289°E  	43.5703051°S   	0              
1              	54             	172.7091134°E  	43.5679142°S   	0              
1              	55             	172.7082830°E  	43.5659691°S   	0              
1              	56             	172.7084533°E  	43.5623057°S   	0              
1              	57             	172.7098349°E  	43.5607549°S   	0              
1              	58             	172.7105331°E  	43.5584251°S   	0              
1              	59             	172.7129828°E  	43.5569325°S   	0              
1              	60             	172.7156581°E  	43.5561620°S   	0              
1              	61             	172.7203139°E  	43.5562290°S   	0              
1              	62             	172.7211477°E  	43.5575078°S   	0              
1              	63             	172.7215252°E  	43.5583969°S   	0              
1              	64             	172.7235089°E  	43.5586238°S   	0              
1              	65             	172.7248048°E  	43.5590155°S   	0              
1              	66             	172.7270835°E  	43.5615190°S   	0              
1              	67             	172.7278484°E  	43.5611878°S   	0              
1              	68             	172.7290059°E  	43.5584149°S   	0              
1              	69             	172.7300032°E  	43.5573070°S   	0              
1              	70             	172.7312294°E  	43.5561996°S   	0              
1              	71             	172.7319902°E  	43.5567566°S   	0              
1              	72             	172.7324448°E  	43.5575348°S   	0              
1              	73             	172.7330488°E  	43.5590351°S   	0              
