well_id,latitude,longitude,depth,depth_m,yield_rate,status,well_type
NZ-1000,-44.26599624436333,171.18170989802482,237.12824947596542,237.12824947596542,31.234534167863956,Active,Monitoring
NZ-1001,-43.22865496477037,173.25481773338814,74.48361504137975,74.48361504137975,6.394637931259838,Active,Irrigation
NZ-1002,-43.22266910091812,172.5933171702509,56.05660779012346,56.05660779012346,7.09607902424751,Active,Stock
NZ-1003,-43.38626334670782,171.43760808812615,127.77173351599838,127.77173351599838,6.151453373061116,Active,Monitoring
NZ-1004,-43.32974033534456,172.46069431446432,69.67560936513175,69.67560936513175,20.223240792357913,Active,Monitoring
NZ-1005,-43.16741283064261,172.28724457046124,102.65122296740346,102.65122296740346,0.6107639540829921,Abandoned,Stock
NZ-1006,-43.3004397073644,172.93771176200232,88.42538959386019,88.42538959386019,5.532269374170945,Monitoring,Irrigation
NZ-1007,-44.18919647093785,172.75868824947474,108.0472356660843,108.0472356660843,3.796054324447643,Monitoring,Domestic
NZ-1008,-43.684309256684465,172.26262814206936,61.56756402284565,61.56756402284565,4.584898415022866,Active,Domestic
NZ-1009,-43.57742033660377,172.5022983250846,133.02372174525928,133.02372174525928,21.29121784144648,Active,Stock
NZ-1010,-43.24120440206633,172.59357904872144,91.79401246833575,91.79401246833575,19.88656583962751,Active,Domestic
NZ-1011,-43.82742086118636,172.40890846561487,97.35425052593831,97.35425052593831,0.8537334831988914,Active,Stock
NZ-1012,-44.34560550352513,171.36153972948637,113.84550992069332,113.84550992069332,5.277716383619886,Active,Monitoring
NZ-1013,-44.32723263167984,171.26277011722706,182.3594467760341,182.3594467760341,19.786220850460136,Active,Domestic
NZ-1014,-44.34819451237417,172.41192336587875,106.72067663155087,106.72067663155087,6.281754921795043,Active,Domestic
NZ-1015,-44.67240389799895,172.14344551421087,86.53697606613247,86.53697606613247,6.264149920732547,Active,Industrial
NZ-1016,-43.89265351509909,172.42848525188367,95.95983526160184,95.95983526160184,32.170735355762325,Inactive,Domestic
NZ-1017,-44.597315383726325,172.59895828083268,151.9276812033171,151.9276812033171,10.49453559848886,Active,Stock
NZ-1018,-43.131410867717314,172.73792405222426,56.745101244239734,56.745101244239734,3.5161490881246853,Active,Domestic
NZ-1019,-43.353105116529775,172.7123252999897,54.54876493400195,54.54876493400195,7.829943025503292,Inactive,Domestic
NZ-1020,-44.00880094684922,171.47102056372177,234.814720408951,234.814720408951,3.6487505340649697,Active,Domestic
NZ-1021,-42.94599489354423,172.8689657198575,49.44230518342585,49.44230518342585,1.5096790488436116,Inactive,Stock
NZ-1022,-43.38787528580206,172.93757061444214,106.57675273218376,106.57675273218376,4.20003277722169,Active,Stock
NZ-1023,-43.54869453491587,171.8290091527502,90.75079176300599,90.75079176300599,12.44590077252724,Active,Monitoring
NZ-1024,-43.28036728520366,172.99509663904806,83.12772383525603,83.12772383525603,3.5722898816558772,Abandoned,Irrigation
NZ-1025,-43.304908653144686,172.97824104713598,93.89620701395124,93.89620701395124,18.90507720278052,Active,Stock
NZ-1026,-43.45795031453326,172.5317275972374,84.00771536477686,84.00771536477686,11.41998654488519,Active,Industrial
NZ-1027,-43.12189806231714,172.43530570523686,75.34032713325625,75.34032713325625,11.853629444722989,Inactive,Stock
NZ-1028,-43.64728727535766,172.64173280108452,95.87089339831911,95.87089339831911,2.571946500127472,Active,Stock
NZ-1029,-43.44767098259294,172.43241328685744,117.40065509150156,117.40065509150156,11.808480602344222,Active,Irrigation
NZ-1030,-44.220372478013736,171.25344892810557,263.974691028224,263.974691028224,19.425901662890748,Active,Domestic
NZ-1031,-43.29715957701148,171.23842682139022,438.80244347919415,438.80244347919415,1.4547131016700732,Active,Domestic
NZ-1032,-44.3693656352159,171.2549208360399,180.0225563488598,180.0225563488598,3.783070868783347,Active,Domestic
NZ-1033,-43.597086987660234,171.80538927923754,351.3827884039601,351.3827884039601,22.153842705049595,Active,Irrigation
NZ-1034,-42.646441415693886,171.94309675378622,96.45920635684193,96.45920635684193,4.487049734430238,Monitoring,Stock
NZ-1035,-43.80514116675719,171.6504829602125,124.40179102424692,124.40179102424692,3.203864103021118,Active,Irrigation
NZ-1036,-43.49978881440955,172.3693302533648,41.87625947870467,41.87625947870467,2.1673815357209847,Active,Domestic
NZ-1037,-43.30481728024307,171.84527867053856,92.65459350900444,92.65459350900444,6.891515729805029,Active,Irrigation
NZ-1038,-43.83648579680788,172.97815029415665,75.58294809964242,75.58294809964242,4.802168545662521,Active,Monitoring
NZ-1039,-43.05591910514316,171.61940328124427,172.74944714500944,172.74944714500944,3.9653954118202406,Inactive,Irrigation
NZ-1040,-43.124224994187905,172.39110619942488,219.15090628420148,219.15090628420148,0.9030587403314502,Abandoned,Monitoring
NZ-1041,-42.948837725454986,172.60117187061385,84.62709908182455,84.62709908182455,4.585877218694534,Monitoring,Irrigation
